143.38562,150.61157,157.7146,
11.30472,33.4093,39.04126,
30.55201,107.79642,108.19371,
74.86133,157.53862,160.89049,
214.1858,224.57745,232.92735,
180.51035,190.332,199.02647,
23.77928,52.39022,61.67566,
70.33547,109.57245,128.01381,
121.03667,200.06789,212.90057,
167.11816,175.00218,183.86977,
46.03432,125.45003,126.945,
154.44623,162.37852,171.08685,
61.16507,140.70923,143.76917,
92.15099,178.52959,182.26833,
41.73089,70.1975,84.16002,
55.65889,89.54253,106.22887,
151.2443,220.1437,237.14111,
117.69963,123.44743,125.46169,
59.91709,53.13238,43.41338,
240.32915,247.4568,251.5637,
132.31207,138.98889,143.40587,
2.29413,7.82212,8.39523,
195.14449,205.4089,214.14037,
95.9845,100.39589,100.29818,
86.10835,129.64622,149.35172,
38.70799,33.60803,27.40877,
12.42119,85.37165,83.02893,
117.8086,171.89754,194.9362,
23.99596,20.93897,18.5999,
100.06913,151.38779,171.4481,
